Name,Fingerprint,Flags,IP,OrPort,ObservedBW,Uptime,GPS (Long/Lat),Date
internetfreedom2,2F6EC937EC91E357EA30BD2E979F44EF4E9A428A,M,108.61.211.116,1080,2.598288,123999,50.116699/8.683300,2015-07-11T00:00:00.000Z
hexbyte,FE878B6D0A45499E185FBF060A37F8FC6C9BDE20,MGEH,85.226.107.236,9001,10.442312,904691,63.828400/20.259701,2015-07-11T00:00:00.000Z
maximator,2C101497B781D34A932F23E8C14C4C0A3F2955D0,MH,212.112.242.159,443,0.5992580000000001,7383511,51.000000/9.000000,2015-07-11T00:00:00.000Z
relay42,28233CC4ED17B270C8D053BD1ABE23C41C6C850C,M,95.71.126.230,9001,2.47296,2,50.610699/36.580200,2015-07-11T00:00:00.000Z
SiN,59C8CB6A61D70A024CD102D08484A199F0CD8F69,MH,77.50.235.76,9443,0.379363,868219,55.750000/37.616600,2015-07-11T00:00:00.000Z
DudezSG,46022AFBB0B1A771EE3CB35AD337543A63210467,M,202.156.80.123,9001,0.046912,1240395,1.293100/103.855797,2015-07-11T00:00:00.000Z
thistorserver555333,1E014CF541F32F377A116E78B76A603B8346A281,ME,66.146.193.31,9001,0.571571,281375,41.877602/-87.627197,2015-07-11T00:00:00.000Z
XOHwilhelm,C84C479EF1E665C02DE0C4A2506E17866BE88C72,MH,92.222.181.123,443,1.052722,879552,48.866699/2.333300,2015-07-11T00:00:00.000Z
TeamSammutR1,28F5601709FDCAA51C60E1D7004F40EFA0C99DE4,MH,190.10.8.150,443,1.969839,613665,9.933300/-84.083298,2015-07-11T00:00:00.000Z
SchwarzeLocke4,F0A97AAF092015293EC63D7E75D9C2B70B7C360B,MH,85.10.196.12,443,3.825428,1975302,49.447800/11.068300,2015-07-11T00:00:00.000Z
appletreegarden,2D5F5E87254EBC8ACC8D4779659A1B5951C14C4C,ME,85.150.210.68,9001,0.124607,715,52.366699/4.900000,2015-07-11T00:00:00.000Z
disogrelay,46D8FC23095F982171489ED5B1F83CDF0FED392D,MEH,104.236.225.239,9001,0.127926,4752327,40.714298/-74.005997,2015-07-11T00:00:00.000Z
hostressUS,DA4C960DD3510C093FC24C82DB5A49380E26FD3F,M,192.3.45.199,443,2.570274,309758,42.986401/-78.727898,2015-07-11T00:00:00.000Z
default,45A7E6113437A7FC3628CC3B34B003875ABC01FF,M,74.90.183.85,443,0.159744,4,40.852901/-73.913902,2015-07-11T00:00:00.000Z
waldheinz,E963D4F79B8CE86CC7373A55E6C034490BD83BEA,M,78.46.123.34,9001,1.2858889999999998,180751,51.000000/9.000000,2015-07-11T00:00:00.000Z
default,4EF0D8CA296E5764FB40C64D766B2F826A3C9B0B,M,172.72.210.38,443,0.304504,194522,38.000000/-97.000000,2015-07-11T00:00:00.000Z
black,4B12D774B094196DBD386940690FEDE1D97A2DE5,ME,150.140.5.34,9001,0.18496700000000002,583221,38.244400/21.734400,2015-07-11T00:00:00.000Z
cornelius,6C4292AC47C8E2CC456DD9BF85660CF67062A6C0,MG,45.33.0.10,9001,2.4021999999999997,7286572,39.489899/-74.477303,2015-07-11T00:00:00.000Z
TorSxFR01,2296B96990A16157B6CEBDA22553A9AA492F5B0D,MG,195.154.105.53,9001,5.141966999999999,5930420,48.860001/2.350000,2015-07-11T00:00:00.000Z
Murgh,177D77E9365F9F34FAF0C402D0D034DCFBE22CD4,M,92.76.78.62,443,0.12288500000000001,65101,53.933300/10.316700,2015-07-11T00:00:00.000Z
OnionPi,0D4600825CAFA53099A7DD398EF5C4F4D3FC8407,M,75.97.137.234,9001,0.052252,604295,41.365601/-75.839600,2015-07-11T00:00:00.000Z
satoshitor,67D02F58E692A9AEC8B7E11FD04BAF98110281FC,MH,104.41.2.139,443,0.855052,22429579,-23.547701/-46.635799,2015-07-11T00:00:00.000Z
Hamster,0B57D1E84834877E77A3B1EE4BE1B05A2AB61267,MG,178.62.201.15,9090,16.656151,1729741,52.349998/4.916700,2015-07-11T00:00:00.000Z
RelayName,F0F9DECAC869E973E72290B36527B778ABE3DC24,M,84.17.231.130,9001,0.858522,813916,55.750000/37.616600,2015-07-11T00:00:00.000Z
default,07A1CEA1D77860B477479E44E2EFE3DE89555225,ME,95.23.88.78,443,0.053594,373,40.400002/-3.683300,2015-07-11T00:00:00.000Z
KDFrelayNewport,61A4E1C46F1A16051021F4CAABFC5322415B3E52,MH,108.184.74.90,9001,0.6236710000000001,669656,33.840302/-118.353897,2015-07-11T00:00:00.000Z
XMPPwocky,17A8DD72E13881CCCE32172E52DC93CE32924B27,M,162.243.139.73,9001,0.031631,610113,37.774899/-122.419403,2015-07-11T00:00:00.000Z
stornode,02D0DEF3BBA183CFBD57450C7C38CD9F1CB8BC44,MH,176.12.107.30,9001,0.615816,2658136,51.500000/-0.130000,2015-07-11T00:00:00.000Z
tor3multisec,38E7B0B9E90CDAB04958950C4E3BE822B1FB6A32,ME,193.90.12.88,9003,0.128941,2610678,59.950001/10.750000,2015-07-11T00:00:00.000Z
FreeBradleyManning,895E7974C556CA7BF707329D3F8B3EFBB976854D,M,178.201.151.248,20152,0.129024,38,51.000000/9.000000,2015-07-11T00:00:00.000Z
thesource,6A67CBAE31D20695CBAF7673527DF15421B555E3,M,69.14.28.109,9001,0.12223,1630080,42.489498/-83.141899,2015-07-11T00:00:00.000Z
ymkeo,4E8CE6F5651E7342C1E7E5ED031E82078134FB0D,MH,82.161.212.209,9001,0.50843,1219329,52.366699/4.900000,2015-07-11T00:00:00.000Z
Latrine,11827E1A3E75FC9523E7711773BC9A678446BB80,MGH,81.218.91.154,9001,2.536407,6331197,31.500000/34.750000,2015-07-11T00:00:00.000Z
verax3,5F027C7296AFB8EA8AB83858AA7BD915B7E94FF7,MH,128.199.174.247,9001,0.33725099999999997,19021083,1.293100/103.855797,2015-07-11T00:00:00.000Z
foozmeat1,614FCCB06C88FA00CD6BDCF405F2552ED08FF965,MEH,65.181.118.10,443,0.6425449999999999,2003363,25.780600/-80.182602,2015-07-11T00:00:00.000Z
MrIceManNCSU,53AB7D861525273497DEF261690E88C6A0F33873,MH,162.229.180.109,9001,1.477432,1879044,38.000000/-97.000000,2015-07-11T00:00:00.000Z
SerovaDpUa,4829905CDE56523E6121EEA931C3D2005673AC95,M,85.198.174.157,9933,0.584193,129648,50.450001/30.523300,2015-07-11T00:00:00.000Z
zNode,11BBF548ECD69D28A13113B0BE76D297B4C18993,M,104.200.24.65,9001,0.306948,2103707,39.489899/-74.477303,2015-07-11T00:00:00.000Z
DFRIpi018,A9C7D9EC396F2FF0068F38E302C3BDD8A00EE3D5,M,178.174.225.229,643,0.8173060000000001,5064473,59.329399/18.068600,2015-07-11T00:00:00.000Z
gocahootsinthepark,0B643E6D7EE439353773BE19FEF69E5CF1195ABC,M,37.59.96.82,9001,0.23564,921970,48.860001/2.350000,2015-07-11T00:00:00.000Z
IWillKeepYouSafe,DF7E420A9DC836F40E0787C6E9F5E9FC7EB4DCB2,M,84.209.73.36,9001,1.2390409999999998,259372,59.666698/10.800000,2015-07-11T00:00:00.000Z
default,970E9D13D5B339FEFC43473991610FD02869A7D0,M,93.129.10.59,443,0.062464,61,50.983299/7.400000,2015-07-11T00:00:00.000Z
Panda2,27AEFB49809A921119821D4A32F0F3795FD46887,MG,176.31.120.39,9001,4.5404729999999995,2868373,48.860001/2.350000,2015-07-11T00:00:00.000Z
default,E705D2B989C539720AE26ADAAF2A27BA8CED4453,M,172.254.23.228,443,0.679735,63085,40.762501/-73.950302,2015-07-11T00:00:00.000Z
aaaaaaalias,C1FCB7BF6785A4638A85B34CC9AC1156304A03CC,M,93.220.8.75,9035,0.489418,43584,52.516701/13.400000,2015-07-11T00:00:00.000Z
Unnamed,8FCDF402D4BE0D46D395F2924251D08C42C0C870,M,79.252.209.44,9001,1.109717,457312,51.000000/9.000000,2015-07-11T00:00:00.000Z
paramason,1705422BF17CB4DC67DEFB9D2342FD2F80FA5F24,MH,82.161.109.71,9001,0.23826599999999998,17453172,52.083302/4.300000,2015-07-11T00:00:00.000Z
nametbd3,FFD6C2CEED5ED7BE38835A7B2E1642FFF452DA33,MGEH,209.126.109.119,443,15.624998999999999,540449,38.631199/-90.192200,2015-07-11T00:00:00.000Z
Jesus,2BC19E870E614D8CDDE4F1B45AC6418884DB59FA,ME,67.182.58.224,9001,0.25088,3,36.819401/-119.758598,2015-07-11T00:00:00.000Z
ObfuscatemeAMS01,2441D0FAB252B3E87CC9CA95F05726A7BF576489,MH,81.4.108.135,9001,0.606696,11890400,52.366699/4.900000,2015-07-11T00:00:00.000Z
salottisipuli,04ABF90AEF8556F3A7E0527722CDFA7FDCB66C59,M,83.145.241.231,53280,0.022022,4277634,60.400002/25.666700,2015-07-11T00:00:00.000Z
WizardBungalow,38C9EF53405F861339982AC293DEFA4C51A15CE7,M,72.14.181.82,9001,0.586708,259371,39.489899/-74.477303,2015-07-11T00:00:00.000Z
default,F1B63A5A363DF59EFD773D274C8D8C2B34FB5728,MH,5.129.245.77,443,0.12914099999999998,1704758,61.250000/73.416702,2015-07-11T00:00:00.000Z
default,D2F96A58AF61CEF88DB1BD937F02E59BBBB0856A,M,206.116.100.192,443,0.130384,1102351,49.269901/-123.076500,2015-07-11T00:00:00.000Z
raspicluster,721A872D498AC4DEFB8C10F42E28220B132035F6,M,193.24.209.148,443,0.6039289999999999,294997,51.000000/9.000000,2015-07-11T00:00:00.000Z
IchGebDirNeuland,D755661C6655192F5DCFA48F34B00436B9258FD3,MG,81.7.10.29,8443,8.473156999999999,324276,51.000000/9.000000,2015-07-11T00:00:00.000Z
yetanothertornode,50E7FF018153DD46418304E4B0BEB78A9A4BB435,M,178.67.245.194,9001,0.74034,489,55.750000/37.616600,2015-07-11T00:00:00.000Z
KagamineLen2xLariat,1702F6888757D679AFBEC9842F4B98E9B02B6D40,MGH,195.154.107.23,443,6.711074,1767964,48.860001/2.350000,2015-07-11T00:00:00.000Z
fritz,1BEA405192ABDFAC52D804A54C642D860668579B,MGH,5.9.54.44,9001,2.417704,1571665,51.000000/9.000000,2015-07-11T00:00:00.000Z
kurama,15138529CE92387A2CB3FE4F4ADCDC890E3D7CD9,M,128.199.94.4,9001,0.832998,64843,1.293100/103.855797,2015-07-11T00:00:00.000Z
egg1,C1C4B741C2ADB902083E8AAF6447AF2DD242D0CD,M,69.141.43.197,9001,0.436896,259494,40.736401/-74.072403,2015-07-11T00:00:00.000Z
iloveavagadro,571157DEB0967FD35DF563DB199C32EC891B9A35,MGH,37.187.176.196,443,9.376329,923504,48.860001/2.350000,2015-07-11T00:00:00.000Z
YouOhKay,E6C532D7C7614F19EF809F50AA735054BAB47979,M,46.17.63.214,443,2.211563,129687,51.500000/-0.130000,2015-07-11T00:00:00.000Z
GreenElf,320E96F336E17312A329AF360B4D13DC221757EA,MH,74.207.231.250,443,1.366145,5034818,39.489899/-74.477303,2015-07-11T00:00:00.000Z
liongrass,09C5A1868E77812D20FB6A16836FD825A191E9F6,M,82.118.242.30,9001,1.6578199999999998,1185357,42.700001/23.333300,2015-07-11T00:00:00.000Z
GulesRelay,04CDF2225D864A26A5BE7DC350D7E672756EB064,MH,73.169.69.237,9001,0.712807,400780,38.852100/-104.777702,2015-07-11T00:00:00.000Z
Unnamed,19085B9877894F789FAA390367ADEE5E2CFD170C,M,77.193.201.58,9001,0.084591,184,48.919399/2.274800,2015-07-11T00:00:00.000Z
ididnteditheconfig,66012CB95BFB50368E1779E1EBD189A96DDE7FE3,M,213.39.141.89,9001,0.15606399999999998,11,51.000000/9.000000,2015-07-11T00:00:00.000Z
ATRelay7,4D8BD10177FA358443A851E7039536D15769DFC4,M,84.51.134.232,443,0.0,4,51.500000/-0.130000,2015-07-11T00:00:00.000Z
GoElephantGoGoGo,81D8BDAEB86E16AAEC2EB4A395A791E43A73C351,M,82.209.187.254,9001,0.407802,259372,59.329399/18.068600,2015-07-11T00:00:00.000Z
wmhwn,B88C5D66CFE514C4955ADA9D2E4F0E25F4B59931,M,77.6.252.250,9001,0.060198999999999996,64843,51.000000/9.000000,2015-07-11T00:00:00.000Z
plhost2,FB10883445FC55C9F0DE3EFEDC98BC0296C47B6A,MH,50.46.240.233,9001,1.4602080000000002,389058,47.843498/-122.195702,2015-07-11T00:00:00.000Z
cityConnect,18046895412A1185A1F3715D5FD2987CDC8C4B91,MH,87.64.86.181,9001,0.300385,343023,51.216702/4.416700,2015-07-11T00:00:00.000Z
pokeItWithAStick,7D8597A9AC185D55C8C3F60196355518DDD7869D,MEH,106.185.29.93,443,1.3025360000000001,9422609,35.689999/139.690002,2015-07-11T00:00:00.000Z
polettimarco2,8575B02E4C3146704DF133AAB36192AAA6C4025E,MH,192.73.236.18,9001,0.36471499999999996,10383258,33.751598/-84.391502,2015-07-11T00:00:00.000Z
whiteroom,259D44BDF3734077902CD71606BAD95F994A606B,MH,5.39.78.101,9001,2.521381,896639,48.860001/2.350000,2015-07-11T00:00:00.000Z
Unnamed,2DE827E0A349AEBE42E233F3B5ABE821321BFC8D,M,62.149.2.188,9001,0.123043,2254122,50.450001/30.523300,2015-07-11T00:00:00.000Z
gorge,421312D3A368A5F19858B9A266A1174D0F2AA3F2,ME,198.48.129.198,9001,0.128637,2451651,43.642502/-79.387199,2015-07-11T00:00:00.000Z
startor1se,691C3ABB066147354E183179AFA5C04C577E8E49,MEH,95.215.44.171,443,0.548414,2047045,59.329399/18.068600,2015-07-11T00:00:00.000Z
docker99a1162375,8EA857B41431712234ECF095874781FCE5E84934,M,93.161.98.83,9001,0.099517,347523,56.066700/12.283300,2015-07-11T00:00:00.000Z
torpidsCAovh,CEDD9C7C371E753CDD14D292BCE1C7B8F4734D25,MGH,198.50.146.40,443,5.328957,749095,45.507801/-73.580399,2015-07-11T00:00:00.000Z
baeta,E2237D40BC4BA9C5CB2CFEC364C2C57BB7D01E19,M,109.74.194.124,9001,1.178217,315941,51.500000/-0.130000,2015-07-11T00:00:00.000Z
Exocet01,1E21F1A632D5C96C23A8264E15E45C1EB708B64C,M,93.26.82.216,9001,0.060621,134017,48.860001/2.350000,2015-07-11T00:00:00.000Z
CDRelay,A55EADA1CF5A59EE8E40D087CB889C21E99C9E04,M,149.154.158.228,9001,1.554553,1412194,41.849998/-87.650002,2015-07-11T00:00:00.000Z
Onions,8039E43306E35287A6467D06DFD5ADD6681D4C82,MGEH,18.238.2.85,443,5.262627,334158,42.364601/-71.102798,2015-07-11T00:00:00.000Z
QYY1702,D866A93C207EBB14ED68E7D0E0A0BAD266185205,ME,37.220.31.113,443,0.5130309999999999,64904,51.500000/-0.130000,2015-07-11T00:00:00.000Z
OrbotRelay,713EA6132E4E43BBD8DFE0EFC8D3B22411785DE2,M,46.14.109.179,9002,0.079586,417605,47.000000/8.000000,2015-07-11T00:00:00.000Z
Unnamed,23D89BC7188B07AF7BAB7E204621F748D6984718,ME,217.250.209.160,9001,0.8447089999999999,1,51.000000/9.000000,2015-07-11T00:00:00.000Z
rkn1,6DEE3AC6D0FA8BCC12915062D527AEBFEB8B926E,MGH,37.48.65.122,22,9.223607,1886458,52.349998/4.916700,2015-07-11T00:00:00.000Z
rasptorpipi2,37535409102DFFE92F3DAC809E470E62BC27F1DF,M,78.56.40.22,9001,1.195008,64906,56.000000/24.000000,2015-07-11T00:00:00.000Z
MorningStar,109E129FD742720191E1AE3DB6C1B451FEC9E45F,MH,50.69.29.63,9001,0.067915,2111893,43.642502/-79.387199,2015-07-11T00:00:00.000Z
redonion,00339258B444376593E069201C4A4AA45F95AA87,MH,66.172.33.106,9001,0.110821,5181645,34.052299/-118.385201,2015-07-11T00:00:00.000Z
Unnamed,3C65BD79404611F2892FDE7624CDDAD218425AE6,MG,178.32.219.48,9001,15.143635,1572580,48.860001/2.350000,2015-07-11T00:00:00.000Z
oneringtorule,5F611F08EC4270DE0C69D42C03B66C8F170B5EE8,MG,144.76.182.202,9001,9.58949,305518,51.000000/9.000000,2015-07-11T00:00:00.000Z
iedittheconfig,C6A6FD96C66C9E6A49638384E67200E87EE162F7,MH,195.154.10.155,9001,1.003461,4237796,48.860001/2.350000,2015-07-11T00:00:00.000Z
IndiaTorLand,3548630C33D04D1238A0EB845442CA3F41185EA4,M,49.205.37.198,443,1.431462,64904,20.000000/77.000000,2015-07-11T00:00:00.000Z
ididnteditheconfig,60A756EC3F618D19B63A52A7643E775A9A421603,M,173.78.125.65,9001,0.457944,64843,27.943001/-82.524002,2015-07-11T00:00:00.000Z
ZwiebelNode,B2DDB9F22A09907A96294C363011855A892C56C8,M,87.118.98.187,9001,0.914846,1004914,51.000000/9.000000,2015-07-11T00:00:00.000Z
Antares,17BE657897DF212756D478898C3BAB67070A8811,M,89.0.170.176,9834,0.057877000000000005,75,50.933300/6.950000,2015-07-11T00:00:00.000Z
CatButtsAreFunny,5B228E99B430A0D5602E2788BE3A7E46A75F8609,MG,46.101.157.55,9001,6.228992,24163,50.116699/8.683300,2015-07-11T00:00:00.000Z
faispasser,05306030EC5AAEB1B385CBB69B4D682286396307,M,82.241.236.87,9002,0.059588,129813,48.881699/2.382200,2015-07-11T00:00:00.000Z
idideditheconfig,88F3D3ECF905C0121A38618F479905A6C806E4A7,ME,194.74.181.78,9001,0.133701,338672,51.500000/-0.130000,2015-07-11T00:00:00.000Z
moses,D0E1962B2460BA54D81E1426300D09720E6D43EB,MH,69.164.211.18,9090,1.877027,999486,39.489899/-74.477303,2015-07-11T00:00:00.000Z
SomeUnnamedRElay,A6D30671FD48AE2AD3A5A15F9232D03F94B0B297,MGH,89.179.10.64,9001,2.475243,972841,58.009300/56.284100,2015-07-11T00:00:00.000Z
EFFisMyHero,29A9CA1B82523AAD32EC7165DC0F0A73BF3D7CE1,MG,162.243.73.156,443,6.418315,16557660,40.714298/-74.005997,2015-07-11T00:00:00.000Z
bovr01,03DB7AA9144CA60AD3E1B0B17CF1F16DF61A8517,M,184.146.146.120,9001,0.12245199999999999,129808,43.445301/-79.709503,2015-07-11T00:00:00.000Z
kaplanCS,1F174BAE730A0743C4BB1D9518310E4DBFE29895,MEH,198.73.50.71,443,1.114985,1513855,43.779701/-79.415604,2015-07-11T00:00:00.000Z
skytales,064860A14E1736C3EED2F0030AC4E7B03A79C0B9,M,78.47.139.98,9090,1.6862739999999998,177632,51.000000/9.000000,2015-07-11T00:00:00.000Z
SingaRbel,C9005FD96871890E3EE95A4F12AC39F100CE755F,M,128.199.95.126,9001,0.475594,10401720,1.293100/103.855797,2015-07-11T00:00:00.000Z
default,8F09B72E228BD46C8F3BA424059E9FA911243362,MH,217.19.24.216,443,1.4673610000000001,582575,52.366699/4.900000,2015-07-11T00:00:00.000Z
relay808,209CC674BFC8764D79A180FB58B1477D6FE3B753,M,76.91.194.4,9001,1.256396,194529,38.000000/-97.000000,2015-07-11T00:00:00.000Z
000000s3,CA609D36D09419BFE159EDA6FE72143001CFF068,MGH,84.200.12.61,9001,3.597684,729233,51.000000/9.000000,2015-07-11T00:00:00.000Z
SGGSHK1,075A4D8D7662DF566FCE390FC820C539BFBBA867,M,124.6.32.230,443,0.8366079999999999,3,22.250000/114.166702,2015-07-11T00:00:00.000Z
VoyeurQuartz,C43B1086D94970A15EA8F9F43C6F6AF31D419F12,MH,66.175.211.242,9009,0.567917,4556029,39.489899/-74.477303,2015-07-11T00:00:00.000Z
UniLandau2,B10B6518A41F26B96331E9C1B63C8464A0799887,MH,139.14.13.236,443,1.2526300000000001,838859,49.207500/8.113300,2015-07-11T00:00:00.000Z
Vadelma,8827944C4BDCBDAC9079803F47823403C11A9B7A,MH,79.223.71.148,443,1.2138959999999999,815528,51.000000/9.000000,2015-07-11T00:00:00.000Z
MacserverTorRelay,930E1555684025EF3821ACA4F5503C88A9877000,M,82.244.177.39,9001,0.055164000000000005,64849,48.860001/2.350000,2015-07-11T00:00:00.000Z
yaor,03A7930A66E834632BCEED634D7AB56E35B9E2FA,M,50.116.0.149,9001,1.538185,3601867,39.489899/-74.477303,2015-07-11T00:00:00.000Z
welladjusted,C8B696D5D5B92BBD0ED243E04A0CF31E93FC537D,M,176.9.180.47,9001,0.25577,1239449,51.000000/9.000000,2015-07-11T00:00:00.000Z
schnappsundnutten,639AE2B8235E49568B71A226DF774D2A714FEADE,MGH,5.196.28.186,443,5.917381000000001,826905,48.860001/2.350000,2015-07-11T00:00:00.000Z
4n08o,E59C199512FE52C4DBBDA382F7D6D53A099CAF32,M,77.21.10.161,9001,0.08696,1668253,51.000000/9.000000,2015-07-11T00:00:00.000Z
Montharkan10,117B7F36D4125770771085A7D0A4939A3CD88409,MGH,213.202.219.198,995,5.599687,2073738,51.000000/9.000000,2015-07-11T00:00:00.000Z
QuantumLeopard,92D684DB856B3260960AD66A79A66927E7A0B3AF,MH,95.88.21.57,9001,0.130947,527415,49.568401/8.160500,2015-07-11T00:00:00.000Z
AviatoChortler,5C83EF015106B21132BC602639FAF8D693330A7C,MGEH,91.230.121.131,9001,46.737233,4342294,50.450001/30.523300,2015-07-11T00:00:00.000Z
ChaoticNeutral,D22CF1B9B69F0B4EE08E2A6192EDDBCE4B70E97A,MH,66.228.54.195,9001,1.2346579999999998,11257489,39.489899/-74.477303,2015-07-11T00:00:00.000Z
DigiGesTor2e1,88487BDD980BF6E72092EE690E8C51C0AA4A538C,MGE,176.10.104.243,443,16.379904,64904,47.000000/8.000000,2015-07-11T00:00:00.000Z
uhuru,EA2F559A63264F94B3D083D0FB5C2F49E795AC37,M,80.190.182.52,9001,0.8573500000000001,150304,51.000000/9.000000,2015-07-11T00:00:00.000Z
x,0588B8E00E20CD3BFE20AFE8FC4182CA30C92544,M,5.145.49.106,80,0.34116,172935,47.000000/8.000000,2015-07-11T00:00:00.000Z
moucusin,D3BDC4C51ECEBB98C37DC627BE48BE3C7A77EB61,ME,54.153.74.49,9001,0.33545800000000003,829114,37.339401/-121.894997,2015-07-11T00:00:00.000Z
l0v34nds3x,C86AFAAADA0C3CC4E67E63794A1E16AA99B33693,ME,54.65.206.60,9001,0.589221,793930,35.685001/139.751404,2015-07-11T00:00:00.000Z
Unnamed,B5C4DC54DEF8A3A5F291E642B086EE17B7A3E940,M,85.214.142.12,9001,0.305742,3153700,52.516701/13.400000,2015-07-11T00:00:00.000Z
kktor,740CDCF931280825A4F456E09FC211D13D221FDA,M,54.148.150.16,9001,0.7146140000000001,129747,45.839901/-119.700600,2015-07-11T00:00:00.000Z
KDFrelayLaguna,CBABC09DA4DB4D4E71D22B61382497151D96D8C2,MH,68.231.201.94,9001,0.211991,2241190,33.535099/-117.705200,2015-07-11T00:00:00.000Z
Abadiat,EADA1B6438D789659831D82256585AA4EB4F6F8F,ME,209.159.148.190,9001,1.633949,1499564,40.780102/-74.063301,2015-07-11T00:00:00.000Z
OW7KwS0Kr9dbEEIL,F94BCE1B6E3899FA4E4CBCC3B19C4FD8CC2B33BB,ME,81.89.0.199,443,1.027642,11843574,46.000000/25.000000,2015-07-11T00:00:00.000Z
dopecrumbs1,121ADF3C30928E4BBA28F22261E11FF76A11A79E,MGH,83.149.127.140,443,25.13099,15500888,52.349998/4.916700,2015-07-11T00:00:00.000Z
torsxMega02,0C008BF9D01C623D9838BE3A21BE6073BF721A0A,M,46.22.223.45,9001,0.121402,7710009,59.000000/26.000000,2015-07-11T00:00:00.000Z
fuga,F6ACC67CBAE553611496079E6D4D76C9314BA555,M,209.123.162.66,443,0.538034,4068945,40.822102/-74.456398,2015-07-11T00:00:00.000Z
Hidemyassnetdotnet,FA4E22CFC0802D6738837DE980AFC7199F7DB040,MEH,217.34.135.225,446,0.527428,738153,51.500000/-0.130000,2015-07-11T00:00:00.000Z
HoldenRelay,21292F94449F3148ADA3671E74A0BA5CE41F7660,MH,178.62.212.16,9001,1.308041,5201464,52.349998/4.916700,2015-07-11T00:00:00.000Z
Unnamed,551BD8CB473FAED1AF2483F69DC671DD2BE76000,MGH,95.141.83.146,443,20.498305000000002,7008129,59.950001/10.750000,2015-07-11T00:00:00.000Z
stillneedingprivacy,F85A6B7666C535473928D16AEC06D8E46833D7C4,M,78.47.9.103,3128,0.526992,259344,51.000000/9.000000,2015-07-11T00:00:00.000Z
torpidsUKuk2,C9933B3725239B6FAB5227BA33B30BE7B48BB485,MGH,46.23.70.195,443,10.936326,2806523,51.500000/-0.130000,2015-07-11T00:00:00.000Z
